Flow idx, Flow, jumps_raw min, jumps_raw 25, jumps_raw 50, jumps_raw 75, jumps_raw max, jumps_raw std, jumps min, jumps 25, jumps 50, jumps 75, jumps max, jumps std
       0,   B0,       0,          0.00,          0.00,          0.00,       0,          0.00,       0,          0.00,          0.00,          0.00,       0,          0.00
       1,  JB0,    -266,         90.00,        127.00,        165.00,     951,         50.78,    -470,          7.00,         39.00,         78.00,     754,         46.84
       2,  JO0,    -414,        -29.00,        -20.00,        -10.00,    1825,         14.74,    -399,         -4.00,          6.00,         16.00,    1839,         14.41
       3,  JB0,    -277,        -48.00,        -39.00,        -30.00,     346,         13.42,    -239,         -4.00,          4.00,         12.00,     388,         12.54
       4,  JO0,    -281,        -39.00,        -30.00,        -21.00,     274,         13.76,    -253,         -5.00,          4.00,         13.00,     305,         13.33
       5,  JB0,    -468,        -47.00,        -39.00,        -30.00,     262,         12.72,    -430,         -5.00,          3.00,         11.00,     301,         11.82
       6,  JO0,    -229,        -37.00,        -29.00,        -20.00,     348,         13.16,    -194,         -5.00,          3.00,         11.00,     379,         12.62
       7,  JB0,    -262,        -46.00,        -38.00,        -30.00,     195,         12.17,    -222,         -6.00,          2.00,          9.00,     231,         11.32
       8,  JO0,    -348,        -34.00,        -26.00,        -18.00,     399,         12.71,    -320,         -5.00,          3.00,         10.00,     426,         12.19
       9,  JB0,    -237,        -44.00,        -36.00,        -28.00,     449,         11.99,    -196,         -6.00,          2.00,          9.00,     474,         11.08
      10,  JO0,    -211,        -33.00,        -25.00,        -17.00,     322,         12.41,    -176,         -5.00,          2.00,         10.00,     345,         11.87
      11,  JB0,    -398,        -42.00,        -35.00,        -27.00,     182,         11.77,    -376,         -6.00,          1.00,          8.00,     221,         10.90
      12,  JO0,    -333,        -25.00,        -17.00,         -9.00,     284,         12.20,    -313,         -5.00,          2.00,         10.00,     302,         11.65
      13,  JB0,    -298,        -40.00,        -32.00,        -25.00,     179,         11.68,    -261,         -6.00,          1.00,          8.00,     212,         10.74
      14,  JO0,   -1595,        -26.00,        -18.00,        -10.00,     251,         12.09,   -1574,         -5.00,          2.00,          9.00,     274,         11.48
      15,  JB0,    -329,        -36.00,        -29.00,        -21.00,     180,         11.60,    -302,         -6.00,          1.00,          8.00,     205,         10.67
      16,  JO0,    -194,        -25.00,        -17.00,         -9.00,     277,         11.93,    -166,         -5.00,          2.00,          9.00,     302,         11.30
      17,   X0,    -312,        -32.00,        -25.00,        -17.00,     257,         11.42,    -276,         -7.00,          0.00,          7.00,     276,         10.76
      18,   Z0,       0,          0.00,          0.00,          0.00,       0,          0.00,       0,          0.00,          0.00,          0.00,       0,          0.00
      19,   J0,    -320,        -12.00,         -4.00,          4.00,     310,         11.69,    -318,         -4.00,          3.00,         10.00,     315,         11.02
      20,  JB0,    -232,        -24.00,        -17.00,        -10.00,     181,         10.90,    -222,         -5.00,          1.00,          8.00,     197,         10.20
      21,  JO0,    -310,        -11.00,         -3.00,          4.00,     323,         11.82,    -301,         -3.00,          4.00,         11.00,     319,         11.16
      22,   B0,    -218,        -26.00,        -19.00,        -12.00,     222,         10.84,    -201,         -6.00,          0.00,          7.00,     238,         10.16
      23,   O0,    -494,         -8.00,          0.00,          7.00,     223,         11.66,    -496,         -4.00,          3.00,         10.00,     222,         10.93
      24,   C1,    -505,        -90.00,        -30.00,         11.00,     996,         58.91,    -536,       -123.00,        -61.00,        -21.00,     977,         58.00
      25,   O0,    -143,         15.00,         60.00,        132.00,     439,         66.06,    -143,         23.00,         68.00,        140.00,     442,         65.88
      26,   G1,    -468,        -76.00,        -51.00,        -35.00,     279,         28.20,    -446,        -53.00,        -28.00,        -12.00,     275,         27.23
      27,   O0,    -287,         18.00,         48.00,         96.00,     506,         45.53,    -286,         18.00,         48.00,         97.00,     497,         45.34
      28,   A1,    -694,        -90.00,        -61.00,        -43.00,     268,         30.73,    -665,        -62.00,        -33.00,        -15.00,     299,         30.06
      29,   O0,    -175,         21.00,         49.00,         93.00,     424,         41.88,    -185,         18.00,         45.00,         90.00,     421,         41.69
      30,   T1,    -746,       -130.00,        -81.00,        -50.00,     291,         47.19,    -714,       -101.00,        -52.00,        -21.00,     313,         46.47
      31,   O0,    -530,         29.00,         74.00,        145.00,     922,         65.62,    -529,         27.00,         72.00,        143.00,     914,         65.31
      32,   C1,    -611,       -137.00,        -83.00,        -49.00,     236,         52.41,    -589,       -111.00,        -57.00,        -22.00,     265,         52.09
      33,   O0,    -286,         25.00,         74.00,        150.00,     762,         69.50,    -286,         27.00,         76.00,        152.00,     761,         69.31
      34,   B0,    -191,        -24.00,        -17.00,         -9.00,     164,         11.32,    -167,         -4.00,          3.00,         10.00,     186,         10.63
      35,   O0,    -385,        -13.00,         -6.00,          2.00,     413,         11.41,    -377,         -4.00,          3.00,         10.00,     421,         10.74
      36,   X0,    -220,        -21.00,        -14.00,         -7.00,     274,         11.07,    -213,         -7.00,          0.00,          6.00,     291,         10.37
      37,   Z0,       0,          0.00,          0.00,          0.00,       0,          0.00,       0,          0.00,          0.00,          0.00,       0,          0.00
      38,   J0,    -176,         -9.00,         -1.00,          6.00,     501,         12.05,    -171,         -6.00,          1.00,          7.00,     337,         10.53
      39,  JB0,    -299,        -21.00,        -14.00,         -7.00,     188,         10.90,    -287,         -7.00,          0.00,          6.00,     201,          9.98
      40,  JO0,    -267,         -7.00,          0.00,          7.00,     384,         11.47,    -271,         -4.00,          3.00,          9.00,     389,         10.64
      41,   B0,    -363,        -23.00,        -16.00,         -9.00,     164,         10.67,    -351,         -6.00,          0.00,          6.00,     178,          9.95
      42,   O0,    -522,         -7.00,          1.00,          8.00,     167,         11.26,    -528,         -4.00,          3.00,          9.00,     165,         10.55
      43,   A0,    -711,        -30.00,        -23.00,        -15.00,     481,         12.03,    -685,         -7.00,          0.00,          6.00,     512,         10.77
      44,   O0,    -274,          4.00,         12.00,         19.00,     797,         11.84,    -291,         -4.00,          3.00,         10.00,     790,         10.99
      45,   T1,    -965,       -153.00,        -94.00,        -52.00,     319,         80.12,    -932,       -122.00,        -63.00,        -21.00,     348,         79.50
      46,   O0,    -328,         42.00,        110.00,        209.00,     997,        111.94,    -338,         32.00,        100.00,        199.00,     990,        111.62
      47,   G0,    -992,        -58.00,        -26.00,        -13.00,     427,         65.56,    -974,        -39.00,         -7.00,          6.00,     451,         65.31
      48,   O0,    -215,          4.00,         16.00,         51.00,     944,         69.81,    -224,         -1.00,         11.00,         46.00,     937,         69.62
      49,   T0,    -994,        -34.00,        -23.00,        -14.00,     348,         47.12,    -983,        -11.00,         -1.00,          8.00,     372,         46.72
      50,   O0,    -180,          7.00,         16.00,         27.00,     982,         49.56,    -192,         -1.00,          7.00,         18.00,     974,         49.25
